"kdakun","nmakun"
"725221","Penerusan Pinjaman Luar Negeri Kepada Daerah Tahun Anggaran Yang Lalu"
"725222","Penerusan Pinjaman Luar Negeri Kepada BUMD Tahun Anggaran Yang Lalu"
"725223","Penerusan Pinjaman Luar Negeri Kepada BUMN Tahun Anggaran Yang Lalu"
"726111","Dukungan Infrastruktur"
"727111","Investasi Pemerintah"
"727112","Investasi Pemerintah untuk Pembiayaan Dana Geothermal"
"727121","Pengeluaran Pembiayaan Kredit Investasi Pemerintah"
"727130","Pengeluaran Pembiayaan untuk Manajemen Aset Aset Negara"
"727131","Pengeluaran Pembiayaan untuk Modal Awal Badan Layanan Umum Lembaga Manajemen Aset Negara"
"727132","Pengeluaran Pembiayaan untuk Pengadaan Tanah Proyek Strategis Nasional"
"727211","Investasi Pemerintah Untuk Kemudian Dipinjamkan Kepada BUMN"
"727311","Pembayaran Penjaminan Pemerintah kepada Pihak Ketiga/ Kreditur"
"727312","Pembentukan Dana Cadangan Penjaminan Pemerintah"
"729211","Pengeluaran Pembiayaan Untuk Pemberian Pinjaman dalam Rangka Penanggulangan Lumpur Sidoarjo"
"811112","Penerimaan Setoran / Potongan PFK 10% Gaji PNS Daerah"
"811113","Penerimaan Setoran / Potongan PFK 2% Gaji PNS Daerah"
"811114","Penerimaan Setoran / Potongan PFK 8% Gaji PNS Daerah"
"811115","Penerimaan Setoran PFK 2% Gaji Gubernur/Wakil Gubernur/Bupati/Wakil Bupati/Walikota/Wakil Walikota"
"811116","Penerimaan Setoran PFK 8% Gaji Gubernur/Wakil Gubernur/Bupati/Wakil Bupati/Walikota/Wakil Walikota"
"811134","Penerimaan Setoran / Potongan PFK 8% Gaji TNI dan PNS Kemhan"
"811135","Penerimaan Setoran/Potongan Perhitungan Fihak Ketiga (PFK) 2% Gaji PNS Pusat"
"811136","Penerimaan Setoran/Potongan Perhitungan Fihak Ketiga (PFK) 2% Gaji Polri dan PNS Polri"
"811137","Penerimaan Setoran/Potongan Perhitungan Fihak Ketiga (PFK) 2% Gaji TNI dan PNS Kemhan"
"811138","Penerimaan Setoran/Potongan PFK 8% Gaji Pejabat Negara"
"811141","Penerimaan PFK 2 %  Iuran Jaminan Kesehatan Pegawai Pemerintah Non PNS  yang Berasal dari APBN"
"811143","Penerimaan PFK 2% Iuran Jaminan Kesehatan PPNPN Badan Layanan Umum"
"811144","Penerimaan PFK 3% Iuran Jaminan Kesehatan dari Pemberi Kerja PPNPN Badan Layanan Umum"
"811171","Penerimaan Setoran PFK 2% Iuran Jaminan Kesehatan dari PT. Taspen"
"811172","Penerimaan Setoran PFK 2% Iuran Jaminan Kesehatan dari PT. Asabri"
"811181","Penerimaan Setoran/Potongan Perhitungan Fihak Ketiga (PFK) 2% Gaji Pimpinan dan Anggota DPRD"
"811182","Penerimaan Setoran/Potongan 3% Iuran Jaminan Kesehatan dari Pemberi Kerja Pimpinan dan Anggota DPRD"
"811212","Penerimaan Setoran / Potongan PFK 2% Pembayaran Gaji terusan PNS Daerah"
"811311","Penerimaan Setoran / Potongan PFK Bulog PNS Pusat"
"811312","Penerimaan Setoran / Potongan PFK Bulog Polri & PNS POLRI"
"811313","Penerimaan Setoran/ Potongan PFK Bulog TNI & PNS Dephan"
"811411","Penerimaan Setoran PFK 3 % Iuran Jaminan Kesehatan Pemerintah Propinsi"
"811412","Penerimaan Setoran PFK 3 % Iuran Jaminan Kesehatan Pemerintah Kabupaten/Kota"
"811511","Penerimaan Setoran/Potongan  PFK 2 % Iuran Asuransi Kesehatan Bidan/Dokter PTT"
"811711","Penerimaan Setoran/Potongan PFK 1% Gaji PNS Pusat"
"811712","Penerimaan Setoran/Potongan PFK 1% Gaji Polri dan PNS Polri"
"811713","Penerimaan Setoran/Potongan PFK 1% Gaji TNI dan PNS Kemhan"
"811714","Penerimaan Setoran/Potongan PFK 1% Gaji PNS Daerah"
"811715","Penerimaan Setoran/Potongan PFK 1% Gaji Pejabat Negara"
"811716","Penerimaan Setoran PFK 1% Gaji Gubernur/Wakil Gubernur/Bupati/Wakil Bupati/Walikota/Wakil Walikota"
"811717","Penerimaan Setoran PFK 1% Gaji Pimpinan dan Anggota DPRD"
"811811","Penerimaan Setoran Penutupan Rekening"
"811911","Penerimaan Setoran Potongan PFK Tabungan Wajib Perumahan PNS Pusat"
"811912","Penerimaan Setoran Potongan PFK Tabungan Wajib Perumahan PNS Daerah"
"811921","Penerimaan Pengembalian Kelebihan Penyaluran PFK Tahun Anggaran Yang Lalu"
"811931","Penerimaan Setoran PFK Tunggakan Kewajiban Iuran Jaminan Kesehatan Pemerintah Provinsi"
"811932","Penerimaan Setoran PFK Tunggakan Kewajiban Iuran Jaminan Kesehatan Pemerintah Kabupaten/Kota"
"812111","Penerimaan potongan WP dari SPM KPPN"
"812112","Penerimaan Setoran untuk penerbitan WP"
"813112","Penerimaan Reimbursement / Pengganti PFK PP dan PPHLN"
"813113","Penerimaan Penggantian UP PP Berasal dari SPM GU Nihil (Pengesahan)"
"813114","Penggantian Dana Rek. KPPN ke Rek BUN atas Pembayaran kepada PPHLN (Karena adanya pembayaran ineligi"
"813115","Penggantian Dana dari REKSUS ke Rek BUN karena REKSUS kosong"
"813116","Penggantian Dana dari REKSUS ke Rekening BUN karena Prefinancing REKSUS"
"813117","Penggantian Dana dari Pihak ketiga ke Rekening BUN atas pembayaran kepada PPHLN (Karena adanya pemba"
"813118","Penggantian Dana dari Rekening Dana Talangan REKSUS kosong"
"813121","Penerimaan Dana Talangan dari Rekening SAL"
"813122","Penerimaan Dana Talangan dari dana moratorium"
"813123","Penerimaan Dana Talangan dari Rekening Lainnya"
"813124","Penerimaan Pengembalian dana Talangan ke rekening lainnya"
"813125","Penerimaan Talangan Dana Cadangan Subsidi"
"813126","Penerimaan Talangan Dana Cadangan DBH"
"813127","Penerimaan Talangan Dana Cadangan PMN"
"814111","Penerimaan Kiriman Uang Antar KPPN"
"814112","Penerimaan Kiriman Uang dari Kantor Pusat Ditjen PBN Rekening 500.000000 ke KPPN"
"814113","Penerimaan Kiriman Uang dari KPPN ke Kantor Pusat Ditjen PBN Rekening 500.000000"
"814114","Penerimaan Kiriman Uang dari Kantor Pusat Ditjen PBN 500.000000 ke Rekening BUN 502.000000"
"814115","Penerimaan Kiriman Uang dari Rekening BUN 502.000000 ke Kantor Pusat Ditjen PBN Rekening 500.000000"
"814116","Penerimaan Kiriman Uang dari Rekening Sub BUN Valas ke Rekening BUN 502.000000"
"814117","Penerimaan Kiriman Uang dari  Rekening 501 ke Bank Operasional I"
"814118","Penerimaan Kiriman Uang dari  Rekening 501 ke Bank Operasional II"
"814121","Penerimaan Kiriman Uang dari Rekening 501.000.000 KPPN Induk ke Bank Operasional I KPPN  Non KCBI"
"814122","Penerimaan Kiriman Uang dari Rekening 501.000.000 KPPN Induk ke Bank Operasional II KPPN  Non KCBI"
"814131","Penerimaan Kiriman Uang dari Rekening BUN  ke RPK-BUN-P"
"814132","Penerimaan Kiriman Uang dari RPK-BUN-P ke BO I di KPPN"
"814133","Penerimaan Kiriman Uang dari RPK-BUN-P ke Rekening BUN"
"814141","Penerimaan Kiriman Uang dari Rekening Retur pada Bank Operasional (rekening rr) ke Rekening Retur pada Kantor Pusat Bank Operasional (rekening RR)"
"814142","Penerimaan Kiriman Uang dari Rekening Retur pada Kantor Pusat Bank Operasional (rekening RR) ke Rekening Retur pada Bank Operasional (rekening rr)"
"814143","Penerimaan Kiriman Uang dari Rekening Retur pada Bank Operasional (rekening rr) ke Rekening Kas Negara pada Bank/Pos Persepsi"
"814144","Penerimaan Kiriman Uang dari Rekening Retur pada Kantor Pusat Bank Operasional (rekening RR) ke Rekening Penampungan Retur pada Kantor Pusat Bank Indonesia (rekening RPR)"
"814145","Penerimaan Kiriman Uang dari Rekening Penampungan Retur pada Kantor Pusat Bank Indonesia (rekening RPR) ke Rekening Retur pada Kantor Pusat Bank Operasional (rekening RR)"
"814146","Penerimaan Pemindahbukuan dari RPK BUN KPPN ke Rekening rr KPPN"
"814151","Penerimaan Kiriman Uang dari Rekening KUN dalam Rupiah ke Rekening Pengeluaran BI dalam Rupiah ke Rekening Pengeluaran BI dalam Rupiah"
"814152","Penerimaan Kiriman Uang dari Rekening Pengeluaran BI dalam Rupiah ke Rekening KUN dalam Rupiah"
"814153","Penerimaan Kiriman Uang dari Rekening KUN dalam Valuta USD ke Rekening Pengeluaran BI dalam USD"
"814154","Penerimaan Kiriman Uang dari Rekening Pengeluaran BI dalam Valuta USD ke Rekening KUN dalam Valuta USD"
"814155","Penerimaan Kiriman Uang dari Rekening KUN dalam Valuta Yen ke Rekening Pengeluaran BI dalam Yen"
"814156","Penerimaan Kiriman Uang dari Rekening Pengeluaran BI dalam Valuta Yen ke Rekening KUN dalam Valuta Yen"
"814211","Penerimaan Kiriman Uang dari Rekening Khusus ke KPPN (berdasarkan SPM-LS /SPM-GU Isi/SPM Pengganti)"
"814212","Penerimaan Kiriman Uang dari Rekening Khusus ke Rekening Kantor Pusat Ditjen PBN 500.000.000"
"814213","Penerimaan Kiriman Uang dari Rekening Khusus ke Rekening BUN 502.000000"
"814214","Pembetulan Pembukuan Pengeluaran Penggantian dari Rekening Khusus"
"814215","Penerimaan dari KPPN ke Rekening Kantor Pusat Ditjen PBN 500.000.00 berdasarkan SPM Pengganti"
"814216","Penerimaan Kiriman Uang antar Rekening Khusus"
"814221","Penerimaan Pemindahbukuan dari Rekening Kas Umum Negara ke Rekening Khusus karena Koreksi Pembebanan"
"814231","Penerimaan pemindahbukuan dari rekening antara Reksus ke Rekening Kas Umum Negara"
"814241","Penerimaan Pemindahbukuan dari Reksus ke Rekening KUN dalam rangka penggantian dana talangan"
"814242","Penerimaan Pemindahbukuan dari Reksus ke Rekening Antara Reksus dalam Rangka Reimbursement"
"814311","Penerimaan Pemindahbukuan Intern KPPN"
"814312","Pemindahbukuan dari Bank Tunggal ke Bank Operasional"
"814313","Pemindahbukuan dari Bank Operasional  ke Bank Tunggal"
"814322","Penerimaan Pemindahbukuan dari Bank Persepsi PBB ke BO III"
"814323","Penerimaan Pemindahbukuan dari Bank Persepsi BPHTB ke BO III"
"814331","Penerimaan Pemindahbukuan dari Bank Tunggal ke Bank Operasional I"
"814332","Penerimaan Pemindahbukuan dari Bank Operasional I ke Bank Tunggal"
"814333","Penerimaan Pemindahbukuan dari Bank Tunggal ke Bank Operasional II"
"814334","Penerimaan Pemindahbukuan dari Bank Operasional II ke Bank Tunggal"
"814341","Penerimaan Pemindahbukuan dari Rekening 502.000000 ke Rekening 600.502411"
"814342","Penerimaan Pemindahbukuan dari Rekening 600.502411 ke Rekening 502.000000"
"814343","Penerimaan Pemindahbukuan dari Rekening KUN Rupiah 502.000000 ke Rekening KUN Valuta Yen 600.502111"
"814344","Penerimaan Pemindahbukuan dari Rekening KUN Valuta Yen 600.502111 ke Rekening KUN Rupiah 502.000000"
"814345","Penerimaan Pemindahbukuan dari Rekening KUN Valuta USD 600.502411 ke Rekening KUN Valuta Yen 600.502111"
"814346","Penerimaan Pemindahbukuan dari Rekening KUN Valuta Yen 600.502111 ke Rekening KUN Valuta USD 600.502411"
"814351","Penerimaan Pemindahbukuan dari Rekening 502.000000 ke Rekening RPKBUN P1"
"814352","Penerimaan Pemindahbukuan dari Rekening 502.000000 ke Rekening RPKBUN P2"
"814353","Penerimaan Pemindahbukuan dari Rekening 502.000000 ke Rekening RPKBUN P3"
"814354","Penerimaan Pemindahbukuan dari Rekening RPKBUN P1 ke Rekening 502.000000"
"814355","Penerimaan Pemindahbukuan dari Rekening RPKBUN P2 ke Rekening 502.000000"
"814356","Penerimaan Pemindahbukuan dari Rekening RPKBUN P3 ke Rekening 502.000000"
"814361","Penerimaan Pemindahbukuan dari Rekening 500.000001 ke Rekening 561.000001"
"814362","Penerimaan Pemindahbukuan dari Rekening 500.000001 ke Rekening 561.000002"
"814363","Penerimaan Pemindahbukuan dari Rekening 500.000001 ke Rekening 561.000003"
"814364","Penerimaan Pemindahbukuan dari Rekening 500.000001 ke Rekening 561.000005"
"814365","Penerimaan Pemindahbukuan dari Rekening 561.000001 ke Rekening 500.000001"
"814366","Penerimaan Pemindahbukuan dari Rekening 561.000002 ke Rekening 500.000001"
"814367","Penerimaan Pemindahbukuan dari Rekening 561.000003 ke Rekening 500.000001"
"814368","Penerimaan Pemindahbukuan dari Rekening 561.000005 ke Rekening 500.000001"
"814371","Penerimaan Pemindahbukuan dari Rekening 502.000000 ke Rekening 500.000001"
"814372","Penerimaan Pemindahbukuan dari Rekening 500.000001 ke Rekening 502.000000"
"814373","Penerimaan Pemindahbukuan dari Rekening khusus ke rekening antara reksus dalam rangka penggantian SP2D"
"814374","Penerimaan Pemindahbukuan dari rekening SUBBUN Talangan ke rekening antara reksus karena reksus kosong"
"814375","Penerimaan Pemindahbukuan dari rekening khusus ke rekening SUBBUN talangan dalam rangka reimbursement"
"814381","Penerimaan Pemindahbukuan dari Rekening Penerimaan Kuasa BUN Pusat ke Rekening KUN"
"814382","Penerimaan Pemindahbukuan dari Rekening KUN dalam Rupiah ke Rekening SAL"
"814383","Penerimaan Pemindahbukuan dari Rekening SAL ke Rekening KUN dalam Rupiah"
"814385","Penerimaan Pemindahbukuan dari RDI USD ke RKUN"
"814386","Penerimaan Pemindahbukuan dari RDI JPY ke RKUN"
"814387","Penerimaan Pemindahbukuan dari RDI Valas Lainnya ke RKUN"
"814388","Penerimaan Pemindahbukuan dari RPD ke RKUN"
"814391","Penerimaan Pemindahbukuan dari Rekening Cadangan ke Rekening Kas Umum Negara"
"814392","Penerimaan Pemindahbukuan dari Rekening Kas BLU ke Rekening Penerimaan (Persepsi) KPPN"
"814411","Penerimaan Pemindahbukuan Penutupan rekening"
"814511","Penerimaan Pemindahbukuan dari Rekening 502.000000 ke Rekening Pemerintah di Bank Umum Dalam Rangka Penempatan"
"814512","Penerimaan Pemindahbukuan dari Rekening Pemerintah di Bank Umum Dalam Rangka Penempatan  ke rekening 502.000000"
"814513","Penerimaan Pemindahbukuan dari Rekening Pemerintah di Bank Umum (Sumber Dana Dari Rekening Kas SAL) Dalam Rangka Penempatan Ke Rekening BUN"
"814521","Penerimaan Pemindahbukuan dari Rekening 502.000000 ke Rekening 519.0000122 ( Kas di Rekening penempatan dalam rupiah)"
"814522","Penerimaan Pemindahbukuan dari Rekening 519.000122 ( Kas di Rekening penempatan dalam Rupiah) ke Rekening 502.000000"
"814532","Penerimaan Pemindahbukuan dari Rekening Kas Penempatan dalam valuta USD (608.001411) ke Rekening 600.502.411"
"814541","Penerimaan pemindahbukuan dari Rekening Pemerintah Lainnya di Bank Indonesia ke Rekening Pemerintah di Bank Umum dalam Rangka Penempatan"
"814542","Penerimaan Pemindahbukuan dari Rekening Pemerintah di Bank Umum dalam Rangka penempatan ke rekening Pemerintah Lainnya di Bank Indonesia"
"814551","Penerimaan Pemindahbukuan dari Rekening No. 600.502111 Rekening Kas Umum Negara Dalam Valuta Yen ke Rekening No. 608.000111 Rekening Penempatan Dalam Valuta Yen"
"814552","Penerimaan Pemindahbukuan dari Rekening No. 608.000111 Rekening Penempatan Dalam Valuta Yen ke Rekening No. 600.502111 Rekening Kas Umum Negara Dalam Valuta Yen"
"814561","Penerimaan Pemindahbukuan dari Rekening 609.000991.980 ke Rekening 519.000124.980"
"814562","Penerimaan Pemindahbukuan dari Rekening 609.022411.980 ke Rekening 519.000124.980"
"814711","Penerimaan Pemindahbukuan dari Rekening KUN Rupiah ke Rekening Kelolaan TDR Rupiah"
"814712","Penerimaan Pemindahbukuan dari Rekening Kelolaan TDR Rupiah ke Rekening KUN Rupiah"
"814721","Penerimaan Pemindahbukuan dari Rekening KUN dalam Valuta USD ke Rekening Kelolaan TDR dalam Valuta USD"
"814722","Penerimaan Pemindahbukuan dari Rekening Kelolaan TDR dalam Valuta USD ke Rekening KUN dalam Valuta USD"
"814723","Penerimaan Pemindahbukuan dari Rekening KUN dalam Valuta Yen ke Rekening Kelolaan TDR dalam Valuta Yen"
"814724","Penerimaan Pemindahbukuan dari Rekening Kelolaan TDR dalam Valuta Yen ke Rekening KUN dalam Valuta Yen"
"814725","Penerimaan Pemindahbukuan dari Rekening KUN dalam Valuta Euro ke Rekening Kelolaan TDR dalam Valuta Euro"
"814726","Penerimaan Pemindahbukuan dari Rekening Kelolaan TDR dalam Valuta Euro ke Rekening KUN dalam Valuta Euro"
"814727","Penerimaan Pemindahbukuan dari Rekening KUN dalam Valuta Asing Lainnya ke Rekening Kelolaan TDR dalam Valuta Asing Lainnya"
"814728","Penerimaan Pemindahbukuan dari Rekening Kelolaan TDR dalam Valuta Asing Lainnya ke Rekening KUN dalam Valuta Asing Lainnya"
"815111","Penerimaan Pengembalian Uang Persediaan"
"815113","Penerimaan Pengembalian Uang Persediaan Pengguna PNBP (Swadana)"
"815114","Penerimaan Pengembalian Uang Persediaan Tahun Anggaran yang Lalu"
"815115","Penerimaan Pengembalian Uang Persediaan Pengembalian (Restitusi) Pajak"
"815121","Penerimaan Surplus pada Rekening Kas BLU ke Rekening Penerimaan (Persepsi) KPPN"
"815122","Penerimaan Penarikan Dana Kelolaan BLU pada Rekening RPL"
"815131","Penerimaan penyetoran dana hibah langsung yang telah disahkan"
"815313","Penerimaan Uang Muka Belanja Modal"
"815318","Penerimaan Uang Muka Belanja Lain-Lain"
"815321","Penerimaan Uang Muka Dana Perimbangan"
"815322","Penerimaan Uang Muka Dana Otonomi Khusus"
"815511","Penerimaan Pengembalian Tambahan Uang Persediaan"
"815512","Penerimaan Pengembalian Tambahan Uang Persediaan (TUP) Dana Pinjaman/Hibah Luar Negeri"
"815513","Penerimaan Pengembalian Tambahan Uang Persediaan Pengguna PNBP (Swadana)"
"815514","Penerimaan Pengembalian Tambahan Pengembalian Kelebihan Setoran Sisa Tambahan Uang Persediaan Tahun Anggaran Yang Lalu"
"815515","Penerimaan Pengembalian Tambahan Uang Persediaan Pengembalian (Restitusi) Pajak"
"815614","Penerimaan Escrow Dana Penyertaan Modal Negara"
"815615","Penerimaan Non Anggaran Dana Penjaminan"
"815621","Penerimaan Pengembalian Escrow Pajak"
"815622","Penerimaan Pengembalian Escrow PNBP"
"815811","Penerimaan Transito Pengalihan Piutang Pemberian Pinjaman"
"816111","Koreksi Pengeluaran Pemindahbukuan"
"817111","Penerimaan Non Anggaran Pihak Ketiga karena kesalahan Rekening"
"817112","Penerimaan Non Anggaran Pihak Ketiga karena retur SP2D Reksus pada KBI"
"817122","Penerimaan Non Anggaran Pihak Ketiga Pinjaman Program yang ditangguhkan"
"817123","Penerimaan Non Anggaran Pihak Ketiga Pinjaman Proyek yang ditangguhkan"
"817213","Penerimaan Setoran Panas Bumi"
"817214","Penerimaan Non Anggaran Pihak Ketiga karena Retur pada Rekening Pemerintah Lainnya"
"817215","Penerimaan Pihak Ketiga Panas Bumi diestimasi-reimbursement PPN"
"817216","Penerimaan Pihak Ketiga Panas Bumi Transito diestimasi-Pendapatan PBB Pertambangan Panas Bumi"
"817217","Penerimaan Pihak Ketiga Panas Bumi diestimasi-Penggantian Bonus Produksi"
"817218","Penerimaan Pihak Ketiga Panas Bumi Transito diestimasi-Pendapatan Setoran Bagian Pemerintah Pertambangan Panas Bumi"
"817222","Penerimaan Non Anggaran Pihak Ketiga Penerbitan SBN Ritel Online"
"817313","Penerimaan Pihak Ketiga Migas-Lainnya "
"817318","Penerimaan Pihak Ketiga Migas – Fee Penjualan Migas Bagian Negara "
"817321","Penerimaan Pihak Ketiga Migas Transito Pendapatan PPh Minyak Bumi "
"817322","Penerimaan Pihak Ketiga Migas Transito Pendapatan PPh Gas Bumi"
"817323","Penerimaan Pihak Ketiga Migas Transito Pendapatan PPh Migas Lainnya"
"817324","Penerimaan Pihak Ketiga Migas Transito Pendapatan Minyak Bumi"
"817325","Penerimaan Pihak Ketiga Migas Transito Pendapatan Gas Bumi"
"817326","Penerimaan Pihak Ketiga Migas Transito Pendapatan PBB Minyak Bumi"
"817327","Penerimaan Pihak Ketiga Migas Transito Pendapatan PPN Dalam Negeri"
"817328","Penerimaan Pihak Ketiga Migas Transito Pendapatan PPh Pasal 23"
"817329","Penerimaan Pihak Ketiga Migas Transito – Pendapatan Migas Lainnya"
"817331","Penerimaan Pihak Ketiga Migas Transito – Pendapatan Atas Denda Keterlambatan Pembayaran "
"817421","Penerimaan Pihak Ketiga Panas Bumi Transito - Pendapatan PBB Pertambangan Panas Bumi"
"817422","Penerimaan Pihak Ketiga Panas Bumi Transito - Pendapatan Setoran Bagian Pemerintah Pertambangan Panas Bumi"
"817429","Penerimaan Pihak Ketiga Transito Pendapatan Setoran Bagian Pemerintah Pertambangan/Perikanan"
"817431","Penerimaan Pihak Ketiga Panas Bumi - Penggantian  Bonus Produksi"
"817615","Penerimaan Non Anggaran dalam rangka Transaksi SBN dari Rekening Transaksi SBN dalam Valuta Asing Lainnya"
"817619","Penerimaan Non Anggaran dalam rangka Transaksi Penempatan di Bank Umum dari Rekening Kelolaan TDR dalam Valuta Asing Lainnya"
"817624","Penerimaan Non Anggaran dalam rangka Transaksi SBN dari Rekening Kelolaan TDR dalam Valuta Euro"
"817626","Penerimaan Non Anggaran Pendapatan Kupon SBN Ditangguhkan"
"817627","Penerimaan Non Anggaran Pendapatan Selisih Harga SBN Ditangguhkan"
"817629","Penerimaan Non Anggaran dalam rangka Transaksi SBN dari Rekening Kelolaan TDR dalam Valuta Asing Lainnya"
"817639","Penerimaan Non Anggaran dalam rangka Transaksi Reverse Repo dari Rekening Kelolaan TDR dalam Valuta Asing Lainnya"
"817641","Penerimaan Non Anggaran dalam rangka Transaksi Repo dari Rekening Kelolaan TDR dalam Rupiah"
"817642","Penerimaan Non Anggaran dalam rangka Transaksi Repo dari Rekening Kelolaan TDR dalam Valuta USD"
"817643","Penerimaan Non Anggaran dalam rangka Transaksi Repo dari Rekening Kelolaan TDR dalam Valuta Yen"
"817644","Penerimaan Non Anggaran dalam rangka Transaksi Repo dari Rekening Kelolaan TDR dalam Valuta Euro"
"817649","Penerimaan Non Anggaran dalam rangka Transaksi Repo dari Rekening Kelolaan TDR dalam Valuta Asing Lainnya"
"817651","Penerimaan Non Anggaran dalam Rangka Transaksi Foreign Exchange dari Rekening Kelolaan TDR Rupiah terhadap Valuta USD"
"817652","Penerimaan Non Anggaran dalam Rangka Transaksi Foreign Exchange dari Rekening Kelolaan TDR Rupiah terhadap Valuta Yen"
"817653","Penerimaan Non Anggaran dalam Rangka Transaksi Foreign Exchange dari Rekening Kelolaan TDR Rupiah terhadap Valuta Euro"
"817659","Penerimaan Non Anggaran dalam Rangka Transaksi Foreign Exchange dari Rekening Kelolaan TDR Rupiah terhadap Valuta Asing Lainnya"
"817661","Penerimaan Non Anggaran dalam Rangka Transaksi Foreign Exchange dari Rekening Kelolaan TDR dalam Valuta USD terhadap Rupiah"
"817662","Penerimaan Non Anggaran dalam Rangka Transaksi Foreign Exchange dari Rekening Kelolaan TDR dalam Valuta USD terhadap Valuta Yen"
"817663","Penerimaan Non Anggaran dalam Rangka Transaksi Foreign Exchange dari Rekening Kelolaan TDR dalam Valuta USD terhadap Valuta Euro"
"817669","Penerimaan Non Anggaran dalam Rangka Transaksi Foreign Exchange dari Rekening Kelolaan TDR dalam Valuta USD terhadap Valuta Asing Lainnya"
"817671","Penerimaan Non Anggaran dalam Rangka Transaksi Foreign Exchange dari Rekening Kelolaan TDR dalam Valuta Yen terhadap Rupiah"
"817672","Penerimaan Non Anggaran dalam Rangka Transaksi Foreign Exchange dari Rekening Kelolaan TDR dalam Valuta Yen terhadap Valuta USD"
"817673","Penerimaan Non Anggaran dalam Rangka Transaksi Foreign Exchange dari Rekening Kelolaan TDR dalam Valuta Yen terhadap Valuta Euro"
"817679","Penerimaan Non Anggaran dalam Rangka Transaksi Foreign Exchange dari Rekening Kelolaan TDR dalam Valuta Yen terhadap Valuta Asing Lainnya"
"817681","Penerimaan Non Anggaran dalam Rangka Transaksi Foreign Exchange dari Rekening Kelolaan TDR dalam Valuta Euro terhadap Rupiah"
"817682","Penerimaan Non Anggaran dalam Rangka Transaksi Foreign Exchange dari Rekening Kelolaan TDR dalam Valuta Euro terhadap Valuta USD"
"817683","Penerimaan Non Anggaran dalam Rangka Transaksi Foreign Exchange dari Rekening Kelolaan TDR dalam Valuta Euro terhadap Valuta Yen"
"817689","Penerimaan Non Anggaran dalam Rangka Transaksi Foreign Exchange dari Rekening Kelolaan TDR dalam Valuta Euro terhadap Valuta Asing Lainnya"
"817712","Penerimaan Non Anggaran Pihak Ketiga Pengalihan Piutang "
"817713","Penerimaan Non Anggaran Pihak Ketiga Hasil Penjualan/Penyelesaian Aset Bekas Milik Eks Bank Dalam Likuidasi"
"817714","Penerimaan Non Anggaran Pihak Ketiga Pemotongan DAU atau DBH untuk Alokasi Dana Desa (ADD)"
"817715","Penerimaan PFK Kontribusi Pajak Rokok untuk mendukung Program Jaminan Kesehatan"
"817911","Penerimaan Non Anggaran Pihak Ketiga karena kesalahan Sistem Perbankan"
"821111","Pengembalian Penerimaan Dana Pensiun PNS (4,75%)"
"821112","Pengembalian Penerimaan Tunjangan Hari Tua PNS (3,25%)"
"821113","Pengembalian Penerimaan Asuransi Kesehatan PNS (2%)"
"821114","Pengembalian Penerimaan Dana Pensiun Polri & PNS Polri (4,75%)"
"821115","Pengembalian Penerimaan Tunjangan Hari Tua Polri & PNS Polri (3,25%)"
"821116","Pengembalian Penerimaan Dana Pemeliharaan dan Kesehatan Polri & PNS Polri (2%)"
"821117","Pengembalian Penerimaan Dana Pensiun Personel TNI dan PNS Dephan (4,75%)"
"821118","Pengembalian Penerimaan Tunjangan Hari Tua TNI dan PNS Dephan (3,25%)"
"821119","Pengembalian Penerimaan Dana Pemeliharaan dan Kesehatan TNI & PNS Dephan (2%)"
"821121","Pengembalian Penerimaan Setoran PFK Eks PNS PT. KAI - Iuran Pegawai PT. KAI"
"821122","Pengembalian Penerimaan Setoran PFK Eks PNS PT. KAI - PSL"
"821123","Pengembalian Penerimaan Setoran PFK Eks PNS PT. KAI - Kontribusi PT. KAI"
"821131","Pengeluaran Perhitungan Fihak Ketiga 2% Gaji untuk Penyaluran kepada BPJS Kesehatan"
"821132","Pengeluaran Perhitungan Fihak Ketiga 3.25% Gaji untuk Tabungan Hari Tua PT. Taspen"
"821133","Pengeluaran Perhitungan Fihak Ketiga 4.75% Gaji untuk Iuran Dana Pensiun  PT. Taspen"
"821134","Pengeluaran Perhitungan Fihak Ketiga 3.25% Gaji untuk  Tabungan  Hari Tua PT. Asabri"
"821135","Pengeluaran Perhitungan Fihak Ketiga 4.75% Gaji untuk Iuran Dana Pensiun  PT.  Asabri"
"821211","Pengembalian Penerimaan PFK 2% Iuran Jaminan Kesehatan Pensiunan PNS "
"821212","Pengembalian Penerimaan Asuransi Kesehatan Daerah (2%)"
"821213","Pengembalian Penerimaan PFK 2% Iuran Jaminan Kesehatan Pensiunan TNI/PNS Kemhan dan Polri/PNS Polri "
"821214","Pengembalian Penerimaan Asuransi Kesehatan TNI & PNS Dephan (2%)"
"821311","Pengembalian Penerimaan PFK Beras Bulog PNS Pusat"
"821312","Pengembalian Penerimaan PFK Beras Bulog Polri & PNS Polri"
"821313","Pengembalian Penerimaan PFK Beras Bulog TNI & PNS Dephan"
"821411","Pengembalian Penerimaan PFK 3% Iuran Jaminan Kesehatan dari Pemberi Kerja untuk Penyaluran kepada BPJS Kesehatan"
"821511","Pengembalian Penerimaan Setoran/Potongan  PFK 2 % Iuran Asuransi Kesehatan Bidan/Dokter PTT"
"821611","Pengembalian Penerimaan Setoran/Potongan  PFK 2 % Iuran Asuransi Kesehatan PensiunTNI/PNS Dephan"
